Company Name	Exchange:Ticker	Market Capitalization	Total Enterprise Value	Total Revenue	EBITDA	P_LTM Diluted EPS Before Extra	Diluted EPS before Extra 1 Yr Growth	Diluted EPS before Extra 5 Yr CAGR	Diluted EPS before Extra 10 Yr CAGR	Day Close Price	Shares Outstanding	Dividend Yield	Current Ratio	Total Equity	Total Assets	Total Liabilities	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Return on Equity	Return on Assets	Gross Margin	Earnings from Cont Ops Margin	Total Debt_Equity	Est Annual EPS Growth  1 Yr	Est Annual EPS Growth  2 Yr	LT EPS Growth Rate
"iRhythm Technologies, Inc. (NasdaqGM:IRTC)"	NasdaqGM:IRTC	934.5	874.2	72.7	14.8	NM	NM			42.04	22.2		9.98	92.6	132.8	43.5	3.96	3.96	1.92	1.92	45.8		68.9	27.6	36.6			
IRIDEX Corporation (NasdaqGM:IRIX)	NasdaqGM:IRIX	108.2	84.3	44.7	3.52	NM				9.37	11.5		6.28	39.2	47.4	7.58	1.15	1.15	1.3	1.3	37	5.9	44.7	30.6				
Iridium Communications Inc. (NasdaqGS:IRDM)	NasdaqGS:IRDM	"1,061.60"	"2,326.80"	433.9	224.5	11.4	NM	9.47		10.9	97.4		4.95	"1,343.80"	"3,593.10"	"2,210.00"	0.889	0.889	0.958	0.958	9.12	3.23	74.7	27.8	121.8	15.7	10.2	10
iRobot Corporation (NasdaqGS:IRBT)	NasdaqGS:IRBT	"2,302.80"	"2,027.10"	698.3	86.8	43.2	34.5	10.4	47.9	83.99	27.4		3.88	389	514.3	105.8	1.48	1.48	1.95	1.95	13.2	9.14	49.4	7.79		29.7	28.5	17.5
Iron Mountain Incorporated (NYSE:IRM)	NYSE:IRM	"9,186.00"	"15,302.30"	"3,699.60"	"1,157.50"	94.4	46.3	20.8	5.81	34.78	264.1	6.33	0.845	"1,991.40"	"9,672.10"	"7,701.10"	0.424	0.41	0.38	0.368	8	5.09	55.4	2.69	321.9	10.2	14.2	
"Ironwood Pharmaceuticals, Inc. (NasdaqGS:IRWD)"	NasdaqGS:IRWD	"2,832.60"	"2,926.70"	260.1	64.8	NM	NM			19.06	148.6		4.54	66.7	701.3	671.7	0.564	0.564	0.828	0.828	200.6	7.34	44.6	46.5	"1,313.90"			55
IRSA Inversiones y Representaciones Sociedad An?nima (BASE:IRSA)	BASE:IRSA	"1,370.30"	"7,600.50"	"4,483.70"	580.4	NM				2.39	573.8		1.08	904.1	"10,832.60"	"9,606.30"	0.146	0.146	0.176	0.188	1.95	1.25	31	0.374	595.6			28.1
"IsoRay, Inc. (AMEX:ISR)"	AMEX:ISR	31.3	20.9	4.45	5.88	NM	NM			0.568	55		10.5	16.4	13.9	1.69	0.086	0.086	0.1	0.1	36.9	22.8	6.56	123.4				
Israel Chemicals Ltd. (TASE:ICL)	TASE:ICL	"6,074.90"	"9,498.90"	"5,393.00"	937	NM				4.76	"1,276.40"	3.49	1.3	"2,659.00"	"8,633.00"	"5,952.00"	0.1	0.1	0.099	0.099	5.77	3.79	30.6	3.15	126.1	7.24	8.56	5.91
Isramco Inc. (NasdaqCM:ISRL)	NasdaqCM:ISRL	317.2	388.1	56.4	27.5	33.7	NM	6.6	25.4	116.7	2.72		1.84	2.02	141.5	136.7	2.48	2.48	3.46	3.46	778.2	6.98	58.5	13.4	"2,175.80"			
Issuer Direct Corporation (AMEX:ISDR)	AMEX:ISDR	37.4	31.8	11.6	2.34	26.6	217.5	32.5		12.76	2.93	1.57	3.23	10.6	13.4	2.39	0.54	0.54	0.48	0.48	13.7	8.09	74.2	11.9				
iStar Inc. (NYSE:STAR)	NYSE:STAR	879.7	"4,101.20"	517.5	246.9	24.6	NM		14.2	12.2	72.1		6.59	"1,064.70"	"5,294.50"	"4,256.50"	0.55	0.55	0.496	0.496	9.13	2.22	63.8	18.2	392.3	173	13.3	
Ita· CorpBanca (SNSE:ITAUCORP)	SNSE:ITAUCORP	"4,962.70"		"1,143.60"		99.3	90.6	93.7		0.01	"512,406.80"	0.019		"5,106.10"	"43,765.90"	"38,578.30"	0	0	0	0	1.32	0.161		4.02		297.4	153.2	
Ita· Unibanco Holding S.A. (BOVESPA:ITUB4)	BOVESPA:ITUB4	"72,310.50"		"30,455.10"		10.5	8.28	10.3		11.79	"6,509.70"	0.484		"41,426.40"	"419,012.30"	"376,554.20"	1.09	1.09	1.13	1.13	19.1	1.88		24.7		9.39	9.4	11
"Iteris, Inc. (NasdaqCM:ITI)"	NasdaqCM:ITI	207.6	189.4	96	1.72	NM	NM			6.39	32.5		2.11	40.2	62.3	22.1	0.15	0.161	0.15	0.161	12.4	3.14	39	5.4				30
"Itron, Inc. (NasdaqGS:ITRI)"	NasdaqGS:ITRI	"2,738.30"	"2,873.80"	"1,993.20"	218.6	73.6	114.2		2.7	70.85	38.6		1.73	650.4	"1,673.90"	971.3	0.82	0.82	0.962	0.962	5.98	5.62	32.8	2.02	43.3	18.8	19.6	21
ITT Inc. (NYSE:ITT)	NYSE:ITT	"3,666.00"	"3,532.20"	"2,422.10"	369	19.5	38.4		9.45	41.33	88.7	1.24	1.56	"1,428.40"	"3,670.40"	"2,178.40"	2.07	2.02	2.17	2.12	13.1	4.47	31.6	7.87	14.3	4.58	10	11.4
Ituran Location and Control Ltd. (NasdaqGS:ITRN)	NasdaqGS:ITRN	658.4	637.8	209.5	62.5	17.3	50.3	14	8.24	31.4	21	3.03	2.02	108.2	193.1	75.9	1.53	1.53	1.81	1.81	39	18	50.8	19.5	0.352	30.7	15.2	
ITUS Corporation (NasdaqCM:ITUS)	NasdaqCM:ITUS	13	10.9	0.3	4.1	NM	NM			0.859	15.1		1.42	0.987	7.25	3.66	0.574	0.574	0.622	0.622	116.4	38.6	62.9		83.6			
IXYS Corporation (NasdaqGS:IXYS)	NasdaqGS:IXYS	518.4	428.4	322.1	40.8	24.8	43.5	6.63	2.73	16.4	31.6	0	8.03	297.9	434	136.1	0.66	0.66	0.66	0.66	7.4	4.41	32.8	6.63	26.1	5.68	9.23	12
"IZEA, Inc. (NasdaqCM:IZEA)"	NasdaqCM:IZEA	9.77	5.41	28	6.36	NM	NM			1.72	5.68		1.2	8.99	15.8	8.41	1.41	1.41	1.41	1.41	76.5	26.7	48.9	27.4				15
J&J Snack Foods Corp. (NasdaqGS:JJSF)	NasdaqGS:JJSF	"2,421.80"	"2,299.70"	"1,012.30"	155.4	31.6	5.93	6.99	9.42	129.38	18.7	1.3	3.28	638	825	169	4.05	4.05	4.1	4.1	12.2	9.12	30.7	7.6	0.216	8.02	6.66	8.5
"J. Alexander's Holdings, Inc. (NYSE:JAX)"	NYSE:JAX	164.6	181.7	222.5	20.6	21.2	151.3	8.33	3.69	11.2	14.7		0.566	104.3	164.5	57.2	0.471	0.5	0.499	0.529	7.55	4.35	38.1	3.54	21.4	10.4	13.2	
"J. C. Penney Company, Inc. (NYSE:JCP)"	NYSE:JCP	"1,531.40"	"5,783.40"	"12,442.00"	921	NM	NM			4.94	310		1.58	"1,354.00"	"8,587.00"	"7,382.00"	0.003	0.003	0.36	0.36	9.04	2.27	35.7	0.892	383	512.3	152.5	2
"J.B. Hunt Transport Services, Inc. (NasdaqGS:JBHT)"	NasdaqGS:JBHT	"10,102.00"	"11,043.50"	"6,655.90"	"1,067.90"	23.9	2.34	11	10.4	91.85	110	1	1.52	"1,414.10"	"3,770.40"	"2,398.10"	3.81	3.81	3.85	3.85	32.7	11.8	19.3	6.53	69.5	2.86	9.87	13.5
"J.Jill, Inc. (NYSE:JILL)"	NYSE:JILL	534.2	785.9	657.5	100.8	20.7	223.7			12.21	43.7		1.35	121	580.8	449.5	0.55	0.55	0.59	0.59	17.5		62	3.96	203.5	53.3	33.7	18.6
"J.W. Mays, Inc. (NasdaqCM:MAYS)"	NasdaqCM:MAYS	73.2	73.4	19.3	4.99	39.9	12.4	8.83	5.24	36.3	2.02		2.31	48	64	14.6	0.753	0.753	0.91	0.91	3.79	3.18	48.6	9.51	11.3			
"j2 Global, Inc. (NasdaqGS:JCOM)"	NasdaqGS:JCOM	"4,061.70"	"4,702.60"	928.4	375.9	27.8	5.16	5.09	10.5	84.28	48.2	1.78	0.804	914.5	"2,102.60"	"1,172.10"	3.13	3.13	3.04	3.04	16.1	7.8	83.5	16	89	17	14.3	15.7
"JA Solar Holdings Co., Ltd. (NasdaqGS:JASO)"	NasdaqGS:JASO	298.7	859	"2,319.20"	222.4	3.77	10.6		3.23	6.28	47.6		1.11	930.6	"2,861.30"	"1,921.20"	2.1	2.1	1.66	1.66	9.11	2.02	13.5	3.58	94.9	99.1	53.6	15
Jabil Inc. (NYSE:JBL)	NYSE:JBL	"5,465.10"	"6,920.10"	"18,470.90"	"1,256.90"	46.9	58.9	20.1	23.7	30.49	179.2	1.05	0.963	"2,457.50"	"10,329.60"	"7,986.80"	1.32	1.32	0.65	0.65	4.94	3.1	7.82	0.649	93.2	12.6	17.7	12.9
"Jack Henry & Associates, Inc. (NasdaqGS:JKHY)"	NasdaqGS:JKHY	"8,168.90"	"8,176.00"	"1,414.30"	504.7	31.2	20	14.7	12	105.2	77.7	1.18	1.11	996.2	"1,687.00"	674.9	3.12	3.12	3.38	3.38	27.1	13.5	43.1	18.8	4.94	8.41	7.9	11
Jack in the Box Inc. (NasdaqGS:JACK)	NasdaqGS:JACK	"2,784.10"	"3,968.80"	"1,624.70"	354.5	22.9	30.8	19.5	8.78	94.64	29.4	1.69	0.47	217.2	"1,230.90"	"1,700.30"	3.64	3.7	4.05	4.14	NM	12.9	27.8	8.26	NM	8.74	15.3	14.2
"Jacksonville Bancorp, Inc. (NasdaqCM:JXSB)"	NasdaqCM:JXSB	53		14.4		17.9	3.48	1.97		29.69	1.79	1.35		46.2	317.5	270.1	1.7	1.7	1.66	1.66	6.34	0.962		20.6				
Jacobs Engineering Group Inc. (NYSE:JEC)	NYSE:JEC	"6,547.50"	"6,270.40"	"10,188.60"	630.5	31.6	9.08	9.28	1.35	54.37	120.4	1.1	1.63	"4,330.20"	"7,086.00"	"2,911.70"	1.73	1.73	1.72	1.72	4.79	4.32	16.9	2.02	8.09	1.68	6.23	11.9
Jagged Peak Energy Inc. (NYSE:JAG)	NYSE:JAG	"3,008.70"	"2,809.90"	105.7	330	NM				14.13	212.9		3.06	326.1	814.5	163	0.03	0.03	0.456	0.456	99.4		85.9			"1,736.10"	531.4	115
"Jaguar Animal Health, Inc. (NasdaqCM:JAGX)"	NasdaqCM:JAGX	11.8	14.1	0.926	12.1	NM	NM			0.68	17.4		0.306	2.45	3.58	9.77	1.35	1.35	1.27	1.27	NM	97.4	94.6		NM			
"JAKKS Pacific, Inc. (NasdaqGS:JAKK)"	NasdaqGS:JAKK	86.6	204.6	705.3	38.6	241.7	96.8	32.9	39.5	3.8	22.8		3.86	135.2	376.3	243.1	0.07	0.07	0.016	0.016	0.268	2.37	31.5	0.049	131	382.9	145.5	5
"Jamba, Inc. (NasdaqGM:JMBA)"	NasdaqGM:JMBA	123.3	109	81.9	3.64	NM				8.04	15.3		0.65	4.99	56.4	55.6	0.58	0.58	1.03	1.03	229.1	9.57	52.2	19				
James Hardie Industries plc (ASX:JHX)	ASX:JHX	"6,781.70"	"7,331.90"	"1,921.60"	436.5	24.3	13	14.8	6.69	15.38	440.9	2.47	1.47	212.2	"2,012.70"	"2,224.90"	0.62	0.62	0.62	0.62	NM	10.9	35.1	14.4	NM	6.6	15.2	16.2
"James River Group Holdings, Ltd. (NasdaqGS:JRVR)"	NasdaqGS:JRVR	"1,149.50"	"1,247.70"	631.3	97.3	14.6	38.4			39.01	29.5	6.54	1.57	693.2	"2,411.30"	"1,703.10"	2.49	2.49	2.67	2.67	11.3	2.63	43.4	12.7	27.2	5.3	6.3	
"Jason Industries, Inc. (NasdaqCM:JASN)"	NasdaqCM:JASN	29.8	462.9	689.7	64.1	NM	NM			1.15	25.9		1.98	2.79	587.2	588.5	3.13	3.13	2.93	2.93	184.3	2.09	18.8	10.9	NM			
Jazz Pharmaceuticals Public Limited Company (NasdaqGS:JAZZ)	NasdaqGS:JAZZ	"9,282.20"	"10,750.90"	"1,528.00"	760.6	23.3	24.4	19.9		154.47	60.1		1.92	"1,877.30"	"4,815.80"	"2,831.80"	6.41	6.41	6.62	6.62	22.7	9.63	93	26.7	94.5	8.57	13.5	17.2
JBG Smith Properties (NYSE:JBGS.WI)	NYSE:JBGS.WI			474.4	248.3					37			0.904	"2,167.10"	"3,686.20"	"1,545.60"							63.2	11.2	67.8			
"JD.com, Inc. (NasdaqGS:JD)"	NasdaqGS:JD	"59,630.00"	"59,090.60"	"41,011.70"	477.3	NM	NM			42.01	"1,419.40"		1.06	"5,936.50"	"24,797.50"	"18,542.10"	0.392	0.392	0.275	0.275	5.5	0.203	8.36	0.776	78.2	251.6	168.5	83.7
"JELDWEN Holding, inc. (NYSE:JELD)"	NYSE:JELD	"3,296.80"	"4,366.90"	"3,718.00"	323.1	NM	NM			31.4	105		1.96	192.9	"2,677.90"	"1,963.10"	2.18	1.99	0.711	0.591	73.2	5.65	22.3	9.73	175.7			9
Jensyn Acquisition Corp. (NasdaqCM:JSYN)	NasdaqCM:JSYN	19.7	20.6			NM	NM			10.23	1.93		0.102	5	40.6	35.6	0.23	0.23	0.222	0.222	8.5	0.868			18.6			
JetBlue Airways Corporation (NasdaqGS:JBLU)	NasdaqGS:JBLU	"7,818.00"	"8,109.00"	"6,620.00"	"1,485.00"	12.5	14.5	39.7	43.3	23.43	333.7		0.607	"4,013.00"	"9,473.00"	"5,481.00"	2.22	2.22	1.87	1.87	17.2	7.49	40.1	9.62	33.5	12.9	1.72	5.57
JetPay Corporation (NasdaqCM:JTPY)	NasdaqCM:JTPY	32	91.6	63.6	3.6	NM	NM			2.05	15.6		1.01	63.5	214	154.9	0.895	0.895	0.857	0.857	13	0.182	33	11.6	27.5			
JewettCameron Trading Company Ltd. (NasdaqCM:JCTC.F)	NasdaqCM:JCTC.F	28	26	44.9	4	12.7	31.7	7.13	9.72	12.25	2.29		12.1	17.5	19.7	1.38	0.87	0.87	0.962	0.962	12.4	11.8	21.9	5.02				
"JinkoSolar Holding Co., Ltd. (NYSE:JKS)"	NYSE:JKS	739.5	"2,057.20"	"3,180.20"	265.8	7.81	40.1			23.11	32		1.04	930.4	"3,921.80"	"2,972.40"	8.09	4.4	7.13	2.96	10.4	2.27	15.7	3.05	163.9	62.9	27.3	10
JM Global Holding Company (NasdaqCM:WYIG)	NasdaqCM:WYIG					NM							0.386	10	50.3	40.2	0.211	0.211	0.154	0.154					1.4			
JMP Group LLC (NYSE:JMP)	NYSE:JMP	115.1		120.6		NM				5.31	21.7	6.78	42.1	135.3	881.2	752.4	0.13	0.13	0.173	0.173	0.062	0.008	90.3	0.072	547.9	28.1		
JMU Limited (NasdaqGM:JMU)	NasdaqGM:JMU	178	175.8	75.6	18.5	NM	NM			2.17	82		0.752	248.4	274.7	28.6	0.36	0.36	0.37	0.37	9.55	5.82	0.802	34.5				
"John B. Sanfilippo & Son, Inc. (NasdaqGS:JBSS)"	NasdaqGS:JBSS	720.6	812.6	876.6	74	19.8	15.5	17.6		63.88	11.3	11.7	2.05	251.2	412.3	185.5	2.68	2.68	3.22	3.22	15.5	8.46	16.2	4.18	41.4	25.4	11	9
John Bean Technologies Corporation (NYSE:JBT)	NYSE:JBT	"2,944.10"	"3,281.60"	"1,427.90"	165.1	34.6	51	21.4		93.1	31.6	0.43	1.29	179.9	"1,271.80"	895.5	2.27	2.28	2.67	2.69	31.3	7.01	28.1	5.63	101.1	18.2	18	16.4
"John Wiley & Sons, Inc. (NYSE:JW.A)"	NYSE:JW.A	"3,045.90"	"3,370.60"	"1,718.50"	292.4	27.3	21.4	10.9	1.32	53.25	57.2	2.4	0.457	"1,003.10"	"2,606.20"	"1,603.10"	1.95	1.95	1.95	1.95	11.1	5.07	73.2	6.61	38.2	3.44	6.77	13.5
Johnson & Johnson (NYSE:JNJ)	NYSE:JNJ	"357,201.90"	"350,565.90"	"72,174.00"	"25,120.00"	22.3	7.43	10.3	5.43	132.6	"2,693.80"	2.53	2.52	"70,418.00"	"144,918.00"	"74,577.00"	5.93	5.93	5.95	5.95	23.1	9.49	69.9	22.9	46.5	5.68	6.81	6.48
Johnson Controls International plc (NYSE:JCI)	NYSE:JCI	"41,154.80"	"55,199.80"	"42,598.00"	"3,996.00"	NM				43.87	938.1	2.28	1.23	"25,324.00"	"49,607.00"	"29,238.00"	1.3	1.3	0.747	1.41	5.81	4.41	21.5	2.15	66.2	33.2	12	12.8
Johnson Outdoors Inc. (NasdaqGS:JOUT)	NasdaqGS:JOUT	472.2	447.8	457.8	46.3	21.2	12.8	5.73	12.8	48.08	9.82	0.749	2.66	207.5	342.3	121	1.34	1.34	2.27	2.27	10.6	6.55	41.4	4.97	2.26	111.9	35.5	
"Jones Energy, Inc. (NYSE:JONE)"	NYSE:JONE	93.2	"1,325.80"	136.7	28.5	NM				1.4	66.6		0.684	980.4	"1,874.00"	894.7	1.04	1.04	1.33	1.33	13.9	4.25	78.4	100.1	71.6			
Jones Lang LaSalle Incorporated (NYSE:JLL)	NYSE:JLL	"5,756.40"	"7,298.00"	"7,082.20"	648.8	19.1	28.3	10.9	1.18	127.11	45.3	0.551	1.25	"2,821.50"	"7,236.00"	"4,334.10"	6.98	6.98	6.65	6.65	11.2	4.59	67.6	4.53	59.6	1.07	5.71	12.3
"Jounce Therapeutics, Inc. (NasdaqGS:JNCE)"	NasdaqGS:JNCE	442	179.8	57.5	1.35	NM	NM			13.74	32.2		3.04	70	360.8	182.9	11	11	1.41	1.41	2.19		27.6	4.22				
JPMorgan Chase & Co. (NYSE:JPM)	NYSE:JPM	"327,702.20"		"93,529.00"		13.5	15.6	9.54		92.25	"3,552.30"	2.43		"254,190.00"	"2,563,174.00"	"2,304,691.00"	6.19	6.19	6.83	6.83	10.4	1.05		28.3		10.2	10.5	6.24
"JRjr33, Inc. (AMEX:JRJR)"	AMEX:JRJR	22.1	44.4	123	16.9	NM	NM			0.56	39.4		0.602		66.8	77.1			0.601	0.601	788.6	17.2	61.8	22.6	NM			
Jumei International Holding Limited (NYSE:JMEI)	NYSE:JMEI	329.4	102.8	904.1	23.5	16.1	15.9			2.2	149.7		4.55	559.8	683.5	123.7	0.137	0.137	0.137	0.137	3.99	1.7	27.9	2.39				16.7
"Juniper Networks, Inc. (NYSE:JNPR)"	NYSE:JNPR	"11,084.60"	"10,234.70"	"5,113.20"	"1,141.40"	18.4	3.78	22.2		29.01	382.1	1.38	2.52	"4,962.50"	"9,638.00"	"4,619.60"	1.53	1.53	1.58	1.58	12.6	6.28	61.8	11.9	42.5	6.56	6.07	12.1
"Juniper Pharmaceuticals, Inc. (NasdaqGS:JNP)"	NasdaqGS:JNP	54.2	36.9	55.3	7.46	8.85	NM	17.3		5	10.8		2.4	40.3	56.8	17.4	0.546	0.546	0.565	0.565	16.6	6.46	55.7	11.1	9.8			
"Juno Therapeutics, Inc. (NasdaqGS:JUNO)"	NasdaqGS:JUNO	"2,892.30"	"2,170.10"	88.9	253.6	NM	NM			27.26	106.1		6.36	"1,077.70"	"1,314.70"	298.6	2.42	2.42	2.5	2.5	23	11.9	100	288.7				
Just Energy Group Inc. (TSX:JE)	TSX:JE	784.9	"1,213.60"	"2,819.30"	175.4	2.79	463.8		10.7	5.34	147	7.4	1.15	112.1	929	"1,041.00"	1.82	1.82	1.82	1.82	NM	10.7	18.5	12.5	NM	74.4	47.4	
K12 Inc. (NYSE:LRN)	NYSE:LRN	739.8	571	894.1	42.1	120.6	NM	14.9		18.24	40.6		3.9	566.2	745.4	172.7	0.23	0.23	0.151	0.151	1.02	2.04	37.2	0.65	4.4	18.6	15.3	15
"K2M Group Holdings, Inc. (NasdaqGS:KTWO)"	NasdaqGS:KTWO	"1,053.00"	"1,087.60"	242.2	4.21	NM	NM			24.71	42.6		3.43	261.6	379	123.7	0.998	0.998	1.01	1.01	15.9	5.68	65.3	17.5	28.6			20
Kadant Inc. (NYSE:KAI)	NYSE:KAI	852	852.8	420.4	65.1	25.3	1.05	1.16	7.92	77.45	11	1.08	2.45	284.3	488.8	193.5	2.88	2.88	3.06	3.06	12.1	6.61	46	8.22	23.9	18.5	17.8	15
"Kadmon Holdings, Inc. (NYSE:KDMN)"	NYSE:KDMN	162.8	190.7	22	98.8	NM	NM			3.14	51.8		2.05	25.2	67.9	87.6	9.74	9.74	6.48	6.48	NM	105.8	83.7		NM			
Kaiser Aluminum Corporation (NasdaqGS:KALU)	NasdaqGS:KALU	"1,596.30"	"1,735.30"	"1,342.70"	230.9	16.4	20.9	21.6	24.1	92.97	17.2	2.15	4.13	804.7	"1,413.10"	614.5	5.09	5.09	5.68	5.68	12.8	9.15	22.9	7.55	46.2	1.42	7.21	13.4
"KalVista Pharmaceuticals, Inc. (NasdaqGM:KALV)"	NasdaqGM:KALV	74.5	41	1.67	16.3	NM				7.67	9.71		11.9	21.5	38.1	3.2	7.74	7.74	5.97	5.97								
Kamada Ltd. (TASE:KMDA)	TASE:KMDA	212.9	185.4	74.3	3.66	NM	NM			5.85	36.4		2.82	66.7	93.1	29.9	0.185	0.185	0.234	0.234	12.5	4.51	25.8	11.3	2.8			
Kaman Corporation (NYSE:KAMN)	NYSE:KAMN	"1,377.30"	"1,783.70"	"1,793.10"	164.3	25.8	4.84	3.01	5.58	50.66	27.2	1.58	2.02	565.8	"1,429.20"	856.7	2.1	2.1	1.96	1.96	9.81	5.32	29.9	3.09	75.3	9.6	12.8	11.5
"Kandi Technologies Group, Inc. (NasdaqGS:KNDI)"	NasdaqGS:KNDI	211.3	289.5	83.1	48.8	NM				4.4	48		1.4	232.3	410.5	198.1	0.14	0.14	0.652	0.652	13.4	8.4	14	37	37.8			
Kansas City Southern (NYSE:KSU)	NYSE:KSU	"11,121.80"	"13,875.70"	"2,381.00"	"1,148.30"	21.8	7.49	9.21	15.3	104.84	106.1	1.26	0.894	"4,404.50"	"8,878.20"	"4,409.30"	4.43	4.43	4.82	4.82	11.9	6.09	45.1	21.8	57.2	14.7	13.5	12.1
KapStone Paper and Packaging Corporation (NYSE:KS)	NYSE:KS	"2,164.30"	"3,670.50"	"3,104.90"	349.7	29.1	22.3	10.1	7.78	22.36	96.8	1.79	1.94	904.3	"3,322.80"	"2,416.00"	0.88	0.88	0.769	0.769	8.63	3.19	28	2.45	167	22.1	26.2	16.1
"KAR Auction Services, Inc. (NYSE:KAR)"	NYSE:KAR	"5,582.00"	"9,034.30"	"3,258.40"	762.4	24.5	5.77	31.5		40.7	137.1	3.14	1.24	"1,397.30"	"6,580.20"	"5,149.80"	1.6	1.6	1.66	1.66	16.2	4.91	41.8	7.09	254.5	7.75	9.9	10
Karyopharm Therapeutics Inc. (NasdaqGS:KPTI)	NasdaqGS:KPTI	444.8	334.9	0.222	112.9	NM	NM			9.44	47.1		7.25	162.2	155.4	17.1	2.92	2.92	2.88	2.88	71.3	40.9						
Kayne Anderson Acquisition Corp. (NasdaqCM:KAAC)	NasdaqCM:KAAC	139.5	139.5							9.7	14.4			0.023														
KB Financial Group Inc. (KOSE:A105560)	KOSE:A105560	"20,132.70"		"6,473.50"		9.02	50.3	1.58		50.77	396.6	2.18		"25,967.00"	"340,700.30"	"312,432.50"	4.62	4.62	5.68	5.68	8.31	0.704		34.9		24.9	10.8	6.96
KB Home (NYSE:KBH)	NYSE:KBH	"2,024.10"	"4,185.60"	"3,926.60"	243.4	18.2	32.9			23.66	85.5	0.423	5	"1,723.10"	"4,958.80"	"3,186.40"	1.12	1.12	1.3	1.3	7.22	3.04	16.4	3.13	141.6	53.9	34.9	20.2
"KBR, Inc. (NYSE:KBR)"	NYSE:KBR	"2,177.40"	"2,449.40"	"4,378.00"	15	NM				15.21	143.2	2.1	1.4	745	"3,962.00"	"3,171.00"	0.43	0.43	0.467	0.467	6.11	0.58	2.19	1.33	87.7			12
KBS Fashion Group Limited (NasdaqCM:KBSF)	NasdaqCM:KBSF	5.14	17.2	37.7	16.8	NM				2.9	1.77		8.17	83.4	89	6.59	6.8	6.8	7.95	7.95	15.3	11.6	3.35	37.3	1.85			
"KCG Holdings, Inc. (NYSE:KCG)"	NYSE:KCG	"1,360.40"		"1,284.40"		7.25	622.8			19.99	68.1		1.31	"1,357.30"	"5,983.40"	"4,636.10"	2.97	2.97	2.76	2.76	15.7	3.64	60.7	17.3	143.9			10
"Keane Group, Inc. (NYSE:FRAC)"	NYSE:FRAC	"1,805.80"	"1,874.50"	599.5	4.08	NM	NM			16.15	111.8		1.83	162.3	627.4	291	2.14	2.14	2.28	2.28	99.9		6.85	34.7	45.9			
Kearny Financial Corp. (NasdaqGS:KRNY)	NasdaqGS:KRNY	"1,225.40"		105.4		66.3	182.7	21.4		14.65	83.6	0.819		"1,147.60"	"4,796.20"	"3,702.20"	0.177	0.177	0.221	0.221	1.69	0.411		18.1		16.7	9.29	
Kellogg Company (NYSE:K)	NYSE:K	"23,251.40"	"31,013.40"	"12,873.00"	"2,259.00"	30	40.9	1.22	1.73	66.38	350.3	3.25	0.665	"1,926.00"	"15,427.00"	"13,405.00"	1.96	1.96	2.21	2.21	38.5	7.06	37.8	6.08	397.8	4.72	5.98	5.75
"Kelly Services, Inc. (NasdaqGS:KELY.A)"	NasdaqGS:KELY.A	875.6	829.6	"5,217.40"	91.7	7.41	96.3	9.92	7.76	22.92	38.3	1.31	1.54	"1,012.00"	"2,135.10"	"1,085.40"	3.08	3.08	3.09	3.09	12.4	2.15	17.4	2.33		10.3	9.49	
Kelso Technologies Inc. (TSX:KLS)	TSX:KLS	35.2	34.1	7.71	3	NM	NM			0.75	46.9	0	9.48	11.8	12.5	1.08	0.053	0.053	0.05	0.05	18.9	14.1	29.9	29.9				
KEMET Corporation (NYSE:KEM)	NYSE:KEM	763.9	"1,042.30"	757.8	88	18.5	NM		19.2	16.07	47.5		2.91	154.7	734.5	579.9	0.87	0.87	0.87	0.87	35.9	4.41	24.6	6.33	251	126.4	62.8	
Kemper Corporation (NYSE:KMPR)	NYSE:KMPR	"1,900.40"	"2,532.60"	"2,562.00"	129	132.4	77.6	20.4	23.2	37.05	51.3	2.59	0.646	"1,975.20"	"8,306.80"	"6,323.20"	0.33	0.25	0.36	0.28	0.721	0.713	28.9	0.566	37.9	436	218.9	10
"KemPharm, Inc. (NasdaqGM:KMPH)"	NasdaqGM:KMPH	53.5	84.1		34.7	NM	NM			3.65	14.6		13.1	18.7	75.6	109.6	1.13	1.13	2.04	2.04	NM	23.2			NM			
Kennametal Inc. (NYSE:KMT)	NYSE:KMT	"3,122.30"	"3,751.30"	"2,014.60"	281.3	NM	NM			38.76	80.6	2.06	2.44	995.8	"2,334.70"	"1,355.20"	2.83	2.83	0.524	0.524	3.69	4.47	32.4	1.97	71.1	43.3	40.5	5
"KennedyWilson Holdings, Inc. (NYSE:KW)"	NYSE:KW	"2,159.10"	"7,559.30"	719.8	234.8	224.8	85.9		11.8	18.9	114.2	3.6	2.61	"2,343.10"	"7,626.00"	"5,288.80"	0.01	0.01	0.084	0.084	2.23	0.288	63	7.91	209.5	"1,700.00"	621.1	
Kenon Holdings Ltd. (TASE:KEN)	TASE:KEN	713.2	"3,965.90"	"1,995.90"	444.1	NM				13.28	53.7		0.835	894.2	"5,185.00"	"4,296.00"	7.67	7.67	7.41	7.41	35.1	3.11	28.3	18.8	381.7			
Kentucky First Federal Bancorp (NasdaqGM:KFFB)	NasdaqGM:KFFB	83		10.1		74.5	32.9	12		9.83	8.44	4.07		67.5	305.3	238	0.18	0.18	0.132	0.132	1.63	0.367		10.9				
